Si je lance une pièce quelle est la chance d'avoir Pile ?,1 chance sur 2,1 chance sur 3,1 chance sur 4,1 chance sur 10,A,Il n'y a que 2 côtés. C'est donc 1 sur 2 (50%).
Un dé a 6 faces. Quelle chance d'avoir un 6 ?,1/2,1/6,6/6,0,B,Il y a une seule face 6 sur un total de 6 faces.
Dans un paquet de 52 cartes combien y a-t-il d'As ?,1,2,4,8,C,Il y a un As par couleur (Trèfle Pique Coeur Carreau).
Si le Rouge sort 5 fois de suite le prochain tour sera ?,Forcément Noir,Forcément Rouge,Soit Rouge soit Noir,Vert,C,La roulette n'a pas de mémoire. C'est toujours du hasard pur.
Au casino qui est gagnant sur le long terme ?,Le joueur,Le casino,Personne,L'état,B,Les jeux sont conçus mathématiquement pour avantager le casino.
Si je joue 10€ et que je perds 5€ il me reste ?,15€,5€,0€,10€,B,10 - 5 = 5. Attention à ne pas rejouer pour se refaire.
Quelle est la probabilité de tirer une carte Rouge ?,25%,50%,75%,100%,B,La moitié du paquet est rouge et l'autre est noire.
Un ami me dit qu'il a une technique infaillible pour gagner. C'est ?,Vrai,Possible,Faux,Un génie,C,Le hasard ne se contrôle pas. Il n'y a pas de technique miracle.
Si je lance deux dés le plus petit total possible est ?,1,2,0,3,B,Minimum 1 + 1 = 2.
Le 13 au Loto sort-il moins souvent que les autres ?,Oui,Non,Ça dépend,Seulement le vendredi,B,Toutes les boules ont exactement la même chance d'être tirées.
Si je perds de l'argent la meilleure chose à faire est ?,Arrêter de jouer,Miser plus gros,Emprunter de l'argent,Vendre ma console,A,Essayer de récupérer ses pertes mène souvent à perdre encore plus.
Combien de cartes y a-t-il dans une couleur (ex Pique) ?,10,12,13,15,C,De l'As au Roi cela fait 13 cartes.
Quelle est la chance d'obtenir Pile puis Pile (2 lancers) ?,1/2,1/3,1/4,1/10,C,1/2 fois 1/2 = 1/4. C'est plus difficile que juste un lancer.
Un jeu de hasard est interdit aux moins de ?,16 ans,18 ans,21 ans,12 ans,B,C'est la loi en France pour protéger les mineurs.
Le poker est un jeu de ?,Hasard pur,Stratégie et hasard,Force physique,Rapidité,B,Les cartes sont aléatoires mais la façon de jouer compte.
Si une machine à sous n'a pas payé depuis longtemps elle va payer ?,Oui,Non,Peut-être,Sûrement,C,Chaque tour est indépendant. Elle ne doit rien au joueur.
Combien y a-t-il de Rois dans un jeu de 32 cartes ?,2,4,8,1,B,Toujours 4 Rois peu importe la taille du paquet.
Avoir 1 chance sur 2 c'est comme ?,50%,25%,10%,100%,A,1 divisé par 2 égale 0.5 soit 50%.
L'addiction aux jeux d'argent peut toucher ?,Seulement les adultes,Tout le monde,Les riches,Les mathématiciens,B,Personne n'est à l'abri de devenir accro.
Si je mise 1€ et que j'ai 1 chance sur 1000 de gagner 100€ c'est ?,Rentable,Risqué,Une arnaque,Génial,B,On a beaucoup plus de chances de perdre son euro que de gagner.
Dans un jeu de 52 cartes la probabilité de tirer le Roi de Coeur est ?,1/4,1/13,1/52,1/26,C,C'est une carte unique parmi 52.
Le Bluff au poker c'est ?,Tricher,Mentir sur sa main,Voler des jetons,Prier,B,Faire croire aux autres qu'on a un meilleur jeu.
Si on lance un dé a-t-on plus de chance de faire un 6 ou un 1 ?,Le 6,Le 1,Pareil,Aucun,C,Chaque face a la même probabilité (1/6).
Pourquoi les casinos n'ont-ils pas de fenêtres ?,Pour la chaleur,Pour faire oublier le temps,Pour l'acoustique,C'est la loi,B,On perd la notion du jour et de la nuit pour jouer plus longtemps.
Quelle est la somme des faces opposées d'un dé ?,6,7,8,9,B,1+6=7 et 2+5=7 et 3+4=7. C'est standard.
Si je joue à Pile ou Face 100 fois j'aurai environ ?,100 Piles,0 Pile,50 Piles,80 Piles,C,Sur un grand nombre on se rapproche de la moyenne (50%).
Miser tout son argent en un seul coup c'est ?,Courageux,Dangereux,Intelligent,Une stratégie,B,Le risque de tout perdre est trop grand (All-in).
Si je gagne 50€ puis je perds 60€ mon bilan est ?,+10€,-10€,+110€,0€,B,J'ai perdu plus que j'ai gagné. 50 - 60 = -10.
Une main au poker contient combien de cartes ?,2,3,5,7,C,C'est toujours une combinaison de 5 cartes.
Quelle est la probabilité de tirer une Figure (Valet Dame Roi) ?,3/13,1/13,1/2,1/4,A,Il y a 3 figures par couleur sur 13 cartes.
Les jeux à gratter sont des jeux de ?,Adresse,Hasard pur,Réflexion,Mémoire,B,On ne peut pas influencer le résultat c'est imprimé d'avance.
Si je parie sur le numéro 7 à la roulette j'ai ?,1 chance sur 2,1 chance sur 37,1 chance sur 10,1 chance sur 100,B,Il y a 37 numéros en tout. C'est très difficile.
Le Zéro à la roulette est avantageux pour ?,Le joueur,Le casino,Personne,L'arbitre,B,Si le zéro sort les paris sur Rouge/Noir sont perdus.
Peut-on prédire avec certitude le prochain tirage du Loto ?,Oui,Non,Avec un ordinateur,Avec les astres,B,C'est impossible le hasard est imprévisible.
Emprunter de l'argent pour jouer c'est ?,Une bonne idée,Très risqué,Normal,Interdit,B,C'est le début de graves problèmes financiers.
Si je lance une pièce 3 fois et j'ai 3 Piles c'est ?,Impossible,Rare mais possible,Truqué,Magique,B,Ça arrive (1 chance sur 8) ce n'est pas forcément truqué.
Au Blackjack il ne faut pas dépasser ?,10,15,21,30,C,Le but est d'avoir 21. Si on dépasse on saute et on perd.
Quel est le plus grand risque au casino ?,Gagner trop,Devenir accro,S'ennuyer,Boire de l'eau,B,L'addiction détruit la vie sociale et financière.
Une Paire au poker c'est ?,2 cartes identiques,2 cartes rouges,2 cartes qui se suivent,2 As,A,Exemple : deux Rois ou deux 7.
Si j'ai 1 chance sur 4 de gagner j'ai combien de chance de perdre ?,1 sur 4,2 sur 4,3 sur 4,0,C,Le total doit faire 4/4. Donc 4 - 1 = 3 chances de perdre.
Les probabilités servent à ?,Prédire l'avenir,Estimer les risques,Gagner à coup sûr,Tricher,B,Elles aident à savoir si un pari est risqué ou non.
Un événement improbable veut dire ?,Impossible,Très rare,Certain,Fréquent,B,Ça peut arriver mais c'est très peu probable comme gagner au Loto.
Si je joue tous les jours mes chances de gagner au Loto augmentent ?,Oui,Non,Un peu,Énormément,B,Chaque tirage est indépendant. On ne force pas la chance.
Tirer un 10 de Trèfle dans un paquet c'est ?,1 chance sur 4,1 chance sur 52,1 chance sur 13,Impossible,B,C'est une carte précise et unique.
Le Brelan c'est ?,3 cartes de la même couleur,3 cartes identiques,Une suite de 3,3 cartes rouges,B,Exemple : trois Dames.
